State,Entity Type,count
NH,HM,1
NH,HV,4
NH,RRC,50
NH,RWIIR,1
NH,STD,16
NJ,CH,131
NJ,DSH,326
NJ,FP,20
NJ,FQHCLA,2
NJ,HM,2
NJ,HV,1
NJ,PED,16
NJ,RWI,13
NJ,RWII,2
NJ,RWIIR,1
NJ,STD,98
NJ,TB,25
NM,CAH,38
NM,CH,166
NM,DSH,295
NM,FP,61
NM,FQHC638,1
NM,FQHCLA,14
NM,HM,1
NM,HV,5
NM,RW4,1
NM,RWIID,1
NM,STD,71
NM,TB,44
NM,UI,4
NV,CAH,17
NV,CH,53
NV,DSH,57
NV,FP,14
NV,FQHC638,1
NV,FQHCLA,1
NV,HM,1
NV,RW4,1
NV,RWI,8
NV,RWII,1
NV,RWIID,1
NV,RWIIR,1
NV,STD,37
NV,TB,12
NY,CAH,113
NY,CH,682
NY,DSH,2265
NY,FP,80
NY,FQHC638,1
NY,FQHCLA,27
NY,HM,7
NY,HV,6
NY,RRC,43
NY,RW4,3
NY,RWI,22
NY,RWII,10
NY,RWIIR,1
NY,SCH,24
NY,STD,122
NY,TB,47
OH,CAH,115
OH,CH,423
OH,DSH,1242
OH,FP,65
OH,FQHCLA,30
OH,HM,12
OH,HV,6
OH,PED,500
OH,RRC,627
OH,RW4,1
OH,RWI,13
OH,RWII,3
OH,RWIID,1
OH,RWIIR,1
OH,SCH,1
OH,STD,119
OH,TB,29
OK,CAH,85
OK,CH,163
OK,DSH,354
OK,FP,93
OK,FQHC638,8
OK,FQHCLA,2
OK,HM,1
OK,HV,1
OK,RRC,1
OK,RWII,2
OK,RWIID,1
OK,RWIIR,1
OK,SCH,10
OK,STD,111
OK,TB,90
OR,CAH,155
OR,CH,266
OR,DSH,432
OR,FP,4
OR,FQHC638,8
OR,FQHCLA,9
OR,HM,1
OR,HV,1
OR,RRC,25
OR,RW4,1
OR,RWII,3
OR,RWIID,1
OR,RWIIR,1
OR,SCH,9
OR,STD,65
OR,TB,23
OR,UI,9
PA,BL,1
PA,CAH,67
PA,CH,329
PA,DSH,1377
PA,FP,101
PA,FQHCLA,61
PA,HM,7
PA,HV,25
PA,PED,34
PA,RRC,197
PA,RW4,4
PA,RWI,25
PA,RWII,18
PA,RWIIR,1
PA,SCH,4
PA,STD,247
PA,TB,72
PR,CH,90
PR,DSH,24
PR,FP,7
PR,HV,15
PR,PED,1
PR,RW4,1
PR,RWI,6
PR,RWII,1
PR,RWIID,1
PR,RWIIR,1
PR,STD,5
PR,TB,1
RI,CH,49
RI,DSH,75
RI,FP,20
RI,HV,2
RI,RWIIR,1
RI,STD,4
RI,TB,1
SC,CAH,8
SC,CH,272
SC,DSH,385
SC,FP,54
SC,FQHCLA,4
SC,HM,4
SC,HV,8
SC,RRC,5
SC,RWII,15
SC,RWIID,1
SC,RWIIR,1
SC,SCH,16
SC,STD,64
SC,TB,44
SD,CAH,92
SD,CH,39
SD,DSH,217
SD,FP,7
SD,FQHC638,1
SD,HM,1
SD,RWIIR,1
SD,STD,10
SD,TB,1
SD,UI,2
TN,CAH,24
TN,CH,226
TN,DSH,580
TN,FP,1
TN,FQHCLA,1
TN,HM,3
TN,HV,4
TN,PED,6
TN,RRC,7
TN,RWI,5
TN,RWII,6
TN,RWIID,1
TN,RWIIR,1
TN,SCH,3
TN,STD,152
TN,TB,121
TX,CAH,178
TX,CH,608
TX,DSH,1754
TX,FP,77
TX,FQHC638,3
TX,FQHCLA,21
TX,HM,7
TX,HV,18
TX,PED,306
TX,RRC,38
TX,RW4,4
TX,RWI,33
TX,RWII,33
TX,RWIID,1
TX,RWIIR,2
TX,SCH,88
TX,STD,171
TX,TB,52
TX,UI,1
UT,CAH,21
UT,CH,49
UT,DSH,361
UT,FP,6
UT,FQHC638,11
UT,HM,2
UT,HV,1
UT,PED,30
UT,RRC,29
UT,RW4,1
UT,RWIID,1
UT,RWIIR,1
UT,SCH,9
UT,STD,28
UT,TB,16
UT,UI,1
VA,BL,2
VA,CAH,65
VA,CH,194
VA,DSH,522
VA,FP,101
VA,FQHCLA,2
VA,HM,3
VA,HV,10
VA,PED,13
VA,RRC,37
VA,RWI,12
VA,RWII,3
VA,RWIID,1
VA,RWIIR,1
VA,SCH,62
VA,STD,145
VA,TB,120
VI,CH,5
VI,FP,2
VI,RWIID,1
VI,RWIIR,1
VT,CAH,43
VT,CH,75
VT,DSH,81
VT,HM,1
VT,RRC,22
VT,RWIIR,1
VT,SCH,8
VT,STD,9
VT,TB,1
WA,CAH,142
WA,CH,387
WA,DSH,556
WA,FQHC638,19
WA,HM,2
WA,PED,41
WA,RRC,9
WA,RWI,2
WA,RWII,1
WA,RWIIR,1
WA,SCH,38
WA,STD,88
WA,TB,36
WA,UI,4
WI,CAH,285
WI,CH,102
WI,DSH,599
WI,FP,18
WI,FQHC638,9
WI,FQHCLA,1
WI,HM,7
WI,HV,4
WI,PED,81
WI,RRC,75
WI,RWII,11
WI,RWIIR,1
WI,SCH,30
WI,STD,116
WI,TB,1
WI,UI,1
WV,CAH,107
WV,CH,428
WV,DSH,486
WV,FP,117
WV,FQHCLA,6
WV,HV,1
WV,RRC,39
WV,RW4,1
WV,RWII,1
WV,RWIID,1
WV,RWIIR,1
WV,STD,55
WV,TB,54
WY,CAH,48
WY,CH,25
WY,FP,9
WY,RWIIR,1
WY,STD,30
WY,TB,32
